iter	Passed	Remaining
0	123	123359
1	239	119322
2	380	126575
3	598	149108
4	820	163330
5	1042	172686
6	1263	179168
7	1477	183179
8	1674	184363
9	1907	188815
10	2130	191584
11	2347	193311
12	2544	193150
13	2746	193462
14	2954	194019
15	3167	194794
16	3369	194844
17	3578	195233
18	3833	197909
19	4052	198576
20	4182	194961
21	4388	195073
22	4590	195015
23	4708	191484
24	4830	188370
25	4948	185370
26	5063	182463
27	5181	179859
28	5299	177450
29	5409	174892
30	5524	172676
31	5640	170622
32	5763	168890
33	5876	166955
34	5993	165261
35	6109	163603
36	6232	162220
37	6340	160504
38	6458	159152
39	6574	157785
40	6689	156459
41	6809	155318
42	6941	154487
43	7055	153288
44	7176	152295
45	7294	151271
46	7410	150266
47	7538	149508
48	7662	148721
49	7789	148004
50	7907	147142
51	8019	146196
52	8148	145589
53	8283	145106
54	8416	144607
55	8539	143951
56	8664	143347
57	8786	142708
58	8904	142026
59	9016	141254
60	9139	140686
61	9257	140057
62	9386	139610
63	9501	138965
64	9625	138459
65	9741	137853
66	9857	137274
67	9969	136645
68	10083	136047
69	10284	136634
70	10466	136953
71	10627	136975
72	10835	137599
73	11039	138147
74	11268	138976
75	11481	139592
76	11713	140412
77	11917	140874
78	12114	141234
79	12318	141668
80	12497	141793
81	12606	141134
82	12720	140534
83	12838	139995
84	12958	139499
85	13082	139035
86	13210	138635
87	13321	138054
88	13432	137490
89	13592	137436
90	13744	137294
91	13863	136829
92	13997	136514
93	14117	136064
94	14242	135681
95	14364	135267
96	14493	134924
97	14607	134449
98	14728	134045
99	14841	133569
100	14963	133190
101	15078	132750
102	15203	132407
103	15315	131948
104	15439	131604
105	15553	131176
106	15675	130823
107	15791	130425
108	15904	130010
109	16015	129577
110	16134	129218
111	16247	128820
112	16360	128424
113	16474	128039
114	16602	127763
115	16720	127422
116	16835	127058
117	17013	127167
118	17164	127074
119	17286	126770
120	17417	126531
121	17549	126301
122	17688	126118
123	17812	125839
124	17939	125576
125	18061	125281
126	18181	124976
127	18292	124616
128	18407	124287
129	18524	123973
130	18650	123717
131	18770	123427
132	18889	123136
133	19001	122802
134	19116	122488
135	19235	122199
136	19360	121958
137	19472	121630
138	19587	121326
139	19703	121038
140	19819	120743
141	19932	120440
142	20043	120120
143	20157	119826
144	20275	119555
145	20395	119297
146	20515	119048
147	20627	118747
148	20763	118589
149	20901	118443
150	21017	118168
151	21135	117912
152	21251	117649
153	21367	117379
154	21486	117138
155	21597	116848
156	21714	116594
157	21830	116336
158	21961	116162
159	22082	115931
160	22206	115724
161	22320	115457
162	22433	115194
163	22546	114930
164	22668	114713
165	22795	114527
166	22910	114279
167	23025	114031
168	23143	113799
169	23261	113570
170	23387	113383
171	23506	113160
172	23624	112935
173	23739	112693
174	23858	112475
175	23970	112224
176	24087	112000
177	24206	111784
178	24326	111577
179	24441	111345
180	24558	111122
181	24675	110902
182	24793	110690
183	24913	110486
184	25032	110278
185	25149	110064
186	25265	109845
187	25379	109616
188	25496	109403
189	25606	109164
190	25722	108951
191	25838	108735
192	25960	108549
193	26073	108327
194	26191	108124
195	26307	107915
196	26434	107750
197	26548	107535
198	26673	107364
199	26788	107152
200	26908	106965
201	27027	106770
202	27144	106572
203	27266	106392
204	27381	106186
205	27494	105972
206	27610	105773
207	27724	105564
208	27845	105388
209	27960	105185
210	28071	104969
211	28187	104771
212	28304	104579
213	28414	104365
214	28531	104171
215	28640	103955
216	28752	103747
217	28863	103539
218	28992	103392
219	29110	103209
220	29223	103010
221	29338	102816
222	29463	102660
223	29578	102467
224	29694	102279
225	29807	102083
226	29917	101877
227	30031	101684
228	30145	101493
229	30255	101290
230	30375	101118
231	30485	100917
232	30606	100752
233	30721	100568
234	30849	100426
235	30969	100256
236	31097	100114
237	31215	99940
238	31329	99755
239	31440	99560
240	31562	99402
241	31680	99231
242	31798	99060
243	31918	98896
244	32034	98718
245	32150	98542
246	32264	98362
247	32374	98167
248	32493	98003
249	32605	97815
250	32719	97637
251	32830	97450
252	32947	97279
253	33062	97106
254	33187	96960
255	33300	96779
256	33427	96640
257	33541	96463
258	33656	96290
259	33769	96113
260	33886	95945
261	33997	95764
262	34116	95604
263	34235	95444
264	34346	95263
265	34463	95097
266	34575	94920
267	34692	94756
268	34813	94604
269	34923	94422
270	35043	94269
271	35158	94101
272	35287	93969
273	35403	93807
274	35542	93702
275	35661	93546
276	35782	93397
277	35896	93227
278	36013	93067
279	36128	92901
280	36251	92758
281	36365	92590
282	36480	92426
283	36594	92260
284	36713	92104
285	36827	91940
286	36942	91777
287	37056	91611
288	37177	91465
289	37297	91315
290	37416	91162
291	37532	91003
292	37644	90833
293	37756	90666
294	37878	90523
295	37989	90353
296	38107	90201
297	38217	90029
298	38333	89871
299	38453	89724
300	38572	89575
301	38684	89410
302	38801	89256
303	38918	89103
304	39035	88948
305	39149	88788
306	39264	88632
307	39393	88507
308	39514	88363
309	39629	88207
310	39750	88063
311	39871	87922
312	39997	87790
313	40114	87638
314	40239	87505
315	40353	87347
316	40483	87224
317	40595	87063
318	40710	86908
319	40828	86761
320	40943	86606
321	41058	86452
322	41176	86304
323	41289	86146
324	41412	86010
325	41534	85871
326	41661	85744
327	41791	85622
328	41919	85495
329	42026	85326
330	42154	85201
331	42265	85040
332	42383	84893
333	42501	84747
334	42615	84595
335	42728	84440
336	42848	84298
337	42960	84142
338	43074	83989
339	43189	83838
340	43311	83701
341	43430	83559
342	43555	83428
343	43667	83273
344	43784	83127
345	43901	82982
346	44022	82843
347	44132	82685
348	44254	82549
349	44371	82404
350	44494	82270
351	44610	82124
352	44733	81990
353	44845	81836
354	44966	81700
355	45082	81553
356	45204	81418
357	45322	81276
358	45437	81129
359	45557	80991
360	45683	80863
361	45793	80708
362	45909	80563
363	46023	80414
364	46144	80279
365	46261	80136
366	46380	79997
367	46492	79845
368	46613	79710
369	46727	79562
370	46847	79425
371	46959	79274
372	47081	79141
373	47197	78998
374	47310	78850
375	47423	78702
376	47533	78549
377	47673	78446
378	47790	78306
379	47909	78168
380	48028	78030
381	48140	77881
382	48267	77757
383	48378	77607
384	48493	77463
385	48605	77315
386	48732	77191
387	48847	77047
388	48976	76926
389	49095	76790
390	49218	76659
391	49330	76512
392	49448	76375
393	49564	76233
394	49691	76109
395	49806	75967
396	49922	75826
397	50034	75680
398	50151	75541
399	50264	75396
400	50382	75260
401	50496	75117
402	50614	74980
403	50726	74834
404	50842	74693
405	50955	74550
406	51073	74413
407	51187	74272
408	51306	74137
409	51427	74004
410	51545	73869
411	51657	73724
412	51775	73588
413	51904	73468
414	52017	73326
415	52135	73189
416	52260	73064
417	52376	72925
418	52493	72788
419	52610	72652
420	52732	72522
421	52842	72376
422	52969	72254
423	53078	72106
424	53199	71975
425	53317	71841
426	53442	71714
427	53560	71581
428	53677	71444
429	53788	71301
430	53920	71185
431	54032	71042
432	54148	70905
433	54258	70761
434	54376	70626
435	54493	70491
436	54604	70348
437	54721	70213
438	54838	70077
439	54952	69939
440	55073	69810
441	55194	69680
442	55307	69540
443	55419	69398
444	55538	69266
445	55650	69126
446	55769	68994
447	55890	68864
448	56009	68733
449	56125	68597
450	56239	68460
451	56358	68328
452	56485	68206
453	56602	68072
454	56719	67939
455	56831	67798
456	56949	67666
457	57065	67531
458	57187	67404
459	57303	67269
460	57420	67135
461	57541	67007
462	57665	66882
463	57789	66756
464	57921	66641
465	58059	66531
466	58185	66408
467	58298	66270
468	58417	66140
469	58540	66013
